runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
60.0002,29492,131858,7396460,11213156,-1,52,27,44,3832,13154,0,3592,0,2,106576,0,40044,13421,26.9988,0.154793,1.13719,0.164191,3.05118,15.5824,0.928811,2.5883,0.196954,1.50172,6.87513,8.34273,140336,2.10E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
0.350743,21,42,2944,5318,53,53,27,44,15,17,0,2,0,2,0,0,45,0,0.247327,0.000146,6.90E-05,6.40E-05,0.001812,0.095967,0,0.00156,0.000107,0.000597,0.002668,0.002856,57,2.60E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
60.0027,792,6299,951193,1184145,-1,90,38,86,3,0,0,2,0,4,6278,0,2839,25,52.7416,0.024931,0.070668,0.019977,1.46883,4.12874,0.061789,0.307826,0.015601,0.416738,0.997094,1.08269,6304,2.80E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
21.5413,591,1176,428278,496755,101,101,38,86,2,484,0,5,0,101,0,0,1090,1,19.3916,0.002011,0.001501,0.004648,0.24015,1.32825,0,0.143275,0.003318,0.135319,0.371627,0.376128,1183,2.30E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
60.0009,2076,16596,721576,1108836,-1,64,34,61,2,0,0,1,0,1,13102,0,8805,12898,52.3337,1.60199,0.118433,0.013332,3.01414,1.80924,0.094038,0.113465,0.027621,0.042099,0.485661,0.641334,16606,2.20E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0005,5139,10269,1552949,2082596,-1,64,34,61,799,5134,0,2,0,3,0,0,14550,46,50.9228,0.019882,0.015829,0.063163,1.56809,5.38398,0,0.4938,0.030972,0.032555,0.997692,1.04678,11659,2.70E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
60.0002,1059,8466,442065,628499,-1,55,26,55,135,0,0,1,0,0,6378,0,2243,1331,52.3652,0.015056,0.065402,0.001349,0.400121,6.56408,0.053255,0.121569,0.015868,0.02457,0.317489,0.403514,8871,2.50E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
1.10755,21,39,5964,8099,55,55,26,55,1,16,0,2,0,2,0,0,30,0,1.01185,4.00E-05,4.70E-05,0.00015,0.00215,0.086486,0,0.002423,5.50E-05,0.000582,0.003696,0.003835,42,2.90E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
60,796,3578,520581,673848,-1,82,35,76,257,0,0,1,0,464,2532,0,2978,3242,39.3442,1.54637,0.037404,0.011142,1.58484,16.7518,0.03047,0.081846,0.007238,0.138229,0.482713,0.53113,3897,3.00E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
