runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
5.90E-05,0,1,20,40,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,7.00E-06,0,0,0,6.00E-06,0,0,0,0,0,0,3.30E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
3.00E-05,0,1,20,40,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-06,0,0,0,0,0,0,0,0,0,0,1.90E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
9.73992,101,544,94005,125674,78,78,30,78,9,0,0,9,0,3,531,0,130,4,9.15242,0.000188,0.005889,7.00E-06,0.104095,0.330183,0.005175,0.032002,0.001081,0.049932,0.109397,0.116593,567,2.40E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
2.81079,17,31,12685,14868,78,78,30,78,1,12,0,2,0,2,0,0,28,0,2.62485,3.40E-05,3.60E-05,0.000126,0.000921,0.164625,0,0.004652,5.20E-05,0.008739,0.01488,0.01499,34,2.50E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
60.0004,14823,88875,4665156,7147801,-1,44,31,44,2,0,0,1,0,1,39742,0,17891,3276,46.7251,0.049378,0.570241,0.069475,1.0531,7.69085,0.461101,0.140416,0.113544,0.212529,2.79171,3.54973,88938,2.20E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
0.045822,6,10,1188,1691,44,44,31,44,1,2,0,1,0,2,0,0,8,0,0.041044,9.00E-06,1.20E-05,6.00E-06,0.000358,0.003308,0,0.000282,1.20E-05,2.60E-05,0.00064,0.000675,12,2.50E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
60.0211,912,5468,301950,435581,-1,48,19,48,113,0,0,1,0,0,3854,0,2293,1071,52.9407,0.006012,0.040163,0.00064,0.395173,6.16821,0.032592,0.152346,0.011177,0.014943,0.208704,0.26259,5819,4.00E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
1.37831,23,43,6764,9199,48,48,19,48,1,18,0,2,0,2,0,0,36,0,1.26123,4.60E-05,5.20E-05,0.000205,0.002774,0.104247,0,0.003769,7.00E-05,0.000693,0.00515,0.005317,46,2.50E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
60.0001,20863,55494,3277648,5782906,-1,53,29,46,6385,17046,0,1,0,4,9250,0,32091,22275,40.4597,0.075046,0.513212,0.168391,3.05373,9.15169,0.390065,0.408778,0.171755,0.176865,2.56635,3.25322,67745,2.40E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
60.0001,8366,16732,817821,1400829,-1,53,29,46,21,8361,0,1,0,4,0,0,15605,0,54.5064,0.014549,0.018489,0.0279,0.841714,3.26352,0,0.332105,0.031953,0.03964,0.562366,0.620199,16770,1.60E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
3.60E-05,0,1,19,45,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-06,0,0,0,3.00E-06,0,0,0,0,0,0,1.60E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
3.50E-05,0,1,19,45,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-06,0,0,0,0,0,0,0,0,0,0,1.90E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
1.62759,29,55,10290,13942,78,78,34,67,3,23,0,2,0,3,2,0,61,0,1.39097,0.000526,0.000583,0.000247,0.011235,0.208776,0.000476,0.004932,0.000131,0.001973,0.008289,0.009009,60,3.00E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-7.scen:
1.73264,35,67,12286,16620,78,78,34,67,3,29,0,2,0,3,0,0,70,0,1.50165,0.000601,9.20E-05,0.000422,0.012035,0.198289,0,0.006382,0.000164,0.002842,0.010675,0.010964,71,2.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-7.scen:
4.20E-05,0,1,15,37,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-06,0,0,0,4.00E-06,0,0,0,0,0,0,2.90E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-8.scen:
4.90E-05,0,1,15,37,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-06,0,0,0,0,0,0,0,0,0,0,4.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-8.scen:
0.031028,11,28,702,1288,23,23,13,23,1,6,0,1,0,1,10,0,15,0,0.02747,1.70E-05,0.000127,9.00E-06,0.000442,0.001969,8.80E-05,0.00018,3.10E-05,4.40E-05,0.000502,0.000692,30,2.20E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-9.scen:
0.089851,16,30,861,1583,23,23,13,23,1,12,0,1,0,2,0,0,25,0,0.080322,5.20E-05,5.30E-05,2.90E-05,0.001678,0.005328,0,0.000608,5.80E-05,7.80E-05,0.001103,0.001255,32,2.90E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-9.scen:
0.000501,1,2,311,405,34,34,29,34,0,0,0,1,0,0,0,0,1,0,0.000234,1.00E-06,1.60E-05,0,1.40E-05,0,1.40E-05,9.00E-06,2.00E-06,3.00E-06,0.000141,0.000152,2,1.60E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
0.000526,1,2,311,405,34,34,29,34,0,0,0,1,0,0,0,0,1,0,0.00026,2.00E-06,3.00E-06,0,1.70E-05,0,0,1.10E-05,2.00E-06,5.00E-06,0.000168,0.000172,2,2.50E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
60.002,1929,11570,1271213,1694992,-1,51,26,51,291,0,0,1,0,0,9432,0,5313,2361,56.6006,0.011796,0.083371,0,1.91102,0,0.067795,0.537246,0.013729,0.029581,0.707633,0.817903,12444,1.80E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
0.011349,3,5,944,1177,51,51,26,51,0,0,0,2,0,1,0,0,3,0,0.008197,4.00E-06,5.00E-06,0,0.000244,0.002244,0,0.000153,4.00E-06,1.40E-05,0.000429,0.000442,6,2.40E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-11.scen:
0.109214,44,224,9830,17599,34,34,23,30,14,7,0,1,0,2,180,0,111,45,0.065251,0.00026,0.00145,0.000188,0.015007,0.014695,0.001061,0.002212,0.000301,0.000556,0.00732,0.009432,279,1.70E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.038431,7,14,790,1264,33,33,23,30,2,4,0,1,0,2,0,0,20,0,0.030256,0.00011,2.20E-05,1.70E-05,0.001213,0.005727,0,0.000255,1.80E-05,3.30E-05,0.00056,0.000623,16,2.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-12.scen:
0.000417,1,3,92,184,30,30,26,30,0,0,0,1,0,0,0,0,1,0,0.000178,2.00E-06,2.20E-05,0,1.80E-05,0,1.40E-05,1.30E-05,2.00E-06,7.00E-06,7.60E-05,9.50E-05,2,3.10E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
0.000338,1,3,92,184,30,30,26,30,0,0,0,1,0,0,0,0,1,0,0.000154,2.00E-06,4.00E-06,0,1.70E-05,0,0,1.20E-05,2.00E-06,5.00E-06,6.70E-05,7.50E-05,2,4.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-13.scen:
60.0036,162,968,30215,50390,-1,92,20,92,0,0,0,1,0,0,967,0,516,2,54.9078,0.145556,0.005335,3.50E-05,0.03175,4.86899,0.003848,0.015167,0.001017,0.002096,0.020643,0.028188,968,2.90E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
60.0019,351,700,211350,262229,-1,98,20,92,0,344,0,2,0,5,0,0,1014,1,56.6698,0.002883,0.000969,0.010406,0.402308,2.40204,0,0.094646,0.003404,0.214442,0.343221,0.346204,702,2.40E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-14.scen:
0.000285,1,2,125,183,23,23,20,23,0,0,0,1,0,0,0,0,1,0,0.000127,1.00E-06,9.00E-06,0,2.50E-05,0,6.00E-06,6.00E-06,1.00E-06,2.00E-06,5.30E-05,6.00E-05,2,2.10E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
0.000396,1,2,125,183,23,23,20,23,0,0,0,1,0,0,0,0,1,0,0.000183,2.00E-06,3.00E-06,0,4.10E-05,0,0,1.00E-05,2.00E-06,4.00E-06,8.60E-05,9.30E-05,2,3.20E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-15.scen:
