runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of duplicate conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver name,instance name
44.8495,331,661,225785,372951,1016,1016,961,1008,118,234,9,21,0,66,11,0,212,351,39.7601,0.008315,0.063766,0.012717,0.002252,4.68358,0.059878,0.08023,0.000969,0.027837,0.226132,0.292338,871,0.005022,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-1.scen:
51.988,343,685,226740,375887,1016,1016,961,1008,124,245,9,22,0,66,0,0,208,402,46.0897,0.008403,0.003894,0.014477,0.002155,5.53462,0,0.090257,0.001043,0.015272,0.230912,0.237676,902,0.004846,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-1.scen:
0.12004,69,137,18624,50939,1001,1001,981,995,32,35,16,8,0,9,0,0,120,60,0.05561,0.000799,0.015545,0.003278,0.002314,0.016091,0.014545,0.004255,0.000255,0.002621,0.017384,0.033353,193,0.004777,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-2.scen:
0.159682,69,137,18624,50939,1001,1001,981,995,32,35,16,8,0,9,0,0,120,60,0.082734,0.001168,0.00126,0.004882,0.002932,0.027793,0,0.007244,0.00034,0.003665,0.024346,0.02624,193,0.008962,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-2.scen:
0.241118,143,287,34922,92758,908,908,899,904,78,93,3,27,0,20,0,0,77,163,0.072007,0.002835,0.054299,0.002411,0.008806,0.025364,0.05078,0.004883,0.000726,0.007728,0.060962,0.117109,423,0.009197,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-3.scen:
0.185619,143,287,34922,92758,908,908,899,904,78,93,3,27,0,20,0,0,77,163,0.068437,0.002759,0.00318,0.002325,0.008922,0.025498,0,0.004906,0.000684,0.007296,0.060896,0.065933,423,0.009083,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-3.scen:
0.816393,348,695,162947,367014,975,975,955,970,237,216,51,32,0,48,0,0,201,538,0.281189,0.005037,0.13491,0.016358,0.008274,0.121986,0.127606,0.018672,0.001848,0.023308,0.207073,0.346467,1117,0.009511,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-4.scen:
0.645707,348,695,162947,367014,975,975,955,970,237,216,51,32,0,48,0,0,201,538,0.255276,0.004911,0.006491,0.016019,0.008722,0.104452,0,0.017991,0.001851,0.022015,0.210774,0.22202,1117,0.005409,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-4.scen:
11.5511,13506,27013,2494930,6699713,1126,1126,1107,1118,4188,9722,225,2425,0,1134,0,0,5036,33445,2.83971,0.172458,3.01324,0.251355,0.796089,0.862521,2.82792,0.093789,0.045796,0.397809,2.88749,6.02598,33621,0.005259,WDG+GR+GC+M+BP+DUP with AStar,input/scen-random-32-32-20/random-32-32-20-random-5.scen:
8.50074,13506,27013,2494930,6699713,1126,1126,1107,1118,4188,9722,225,2425,0,1134,0,0,5036,33445,2.67682,0.173311,0.164745,0.250394,0.789764,0.853858,0,0.092172,0.044974,0.375078,2.88427,3.17495,33621,0.005167,WDG+GR+GC+M+BP with AStar,input/scen-random-32-32-20/random-32-32-20-random-5.scen:
